Name			Latitute	Logitute	Population
Arcadia 		34.109103	-118.017505	12345
Azusa 			34.14266	-117.918977	23456
Brentwood 		34.046602	-118.485553	74678
Catalina		33.340097	-118.329697	12950
Cerritos 		33.882809	-118.104757	23445
Lakewood 		33.832602	-118.154567	16934
Lancaster 		34.671447	-118.122882	98674
Norwalk 		33.906109	-118.055455	49589
Palos	 		33.757598	-118.388246	34232
Pico			34.01431	-118.064999	84839
RioHondo 		33.953599	-118.144547	34553
SanGabriel 		34.104506	-118.094853	93848
SantaAnita 		34.135556	-118.031506	12321
SouthGate 		33.944758	-118.182336	1244
Covina			34.054856	-117.887657	58458
RanchoPalosVerdes	33.73907	-118.398194	32145
Carson			33.856677	-118.271328	24454	
Valencia		34.40347	-118.584904	58587
VanNuys			34.190114	-118.490163	94838
SanDimas		34.083231	-117.830588	9877
LongBeach		33.838068	-118.195686	23847
LosAngeles		33.959608	-118.412596	74747
Whittier		33.984036	-118.073998	63643
Rosemead		34.051495	-118.079102	85675
HaciendaHeights		34.02527	-117.989637   	85854
